nodes_count	hermite_uniform	hermite_chebyshev
2	164947.17553434166	596322.716779408
3	63131.73914709361	40442.537165828995
4	76910.38626910168	41642.36700077082
5	41218.2229977061	96723.80457203633
6	270567.08222764434	178502.3482125
7	67537.84603775704	36252.883027030904
8	54355.381350522424	75872.39658297092
9	620202.8360105916	55679.090486460576
10	32519.674381164572	55598.74929291055
11	2807696.143316359	45981.567122490924
12	5865536.509071631	36062.51287438621
13	11979256.96828278	34311.82030323216
14	18131086.689587906	20415.101891237926
15	26962466.470437642	17568.22481051675
16	223960319.99073952	18775.9267994095
17	666991978.0347807	20159.597808517345
18	1294693834.8853197	15723.661814616664
19	992640396.1623399	12622.40096604117
20	4709853330.182036	14498.720644509058
30	72057058821525.45	468257452148.9832
40	19454034998428512256	39812493851453530112
50	1.930036629946821e+27	2.233876727404269e+27
