nodes_count	lagrange_uniform	newton_uniform	lagrange_chebyshev	newton_chebyshev
2	39748.874644703494	39748.874644703494	91020.28740011493	91020.2874001149
3	40527.01415006333	40527.01415006333	40635.10186220685	40635.10186220685
4	39748.87464470351	39748.87464470351	40224.78343232472	40224.78343232472
5	40790.387884508884	40790.387884508884	41071.144914209755	41071.144914209755
6	74118.1455141834	74118.14551418344	81264.58949094664	81264.58949094664
7	98059.24978104365	98059.24978104373	40514.7605135287	40514.760513528694
8	60924.11651709422	60924.11651709439	68109.87701027744	68109.87701027733
9	174425.46419186416	174425.4641918643	57403.29195797434	57403.29195797425
10	39748.87464470351	39748.874644703516	48980.23103116114	48980.23103116112
11	293546.0039886813	293546.00398868625	45765.163443856545	45765.163443856654
12	127101.02136488222	127101.02136488356	43057.63297742449	43057.63297742366
13	154440.46381463183	154440.46381462543	49545.90260911453	49545.90260908832
14	169331.6466848056	169331.646684805	32618.227048130248	32618.227048138746
15	70368.52869132203	70368.52869131512	36092.52505800429	36092.525058002946
16	408983.6535785476	408983.6535786338	27682.935833026593	27682.935833092964
17	2040122.8458887802	2040122.84588866	32306.29192628718	32306.291926581303
18	591286.057482908	591286.0574839648	29212.61839050047	29212.618390734395
19	9051099.00410593	9051099.004110843	27411.811939587016	27411.811939528285
20	1497447.133837987	1497447.1338324172	33068.73961968884	33068.73961859078
30	256594375.1769404	256594375.00641486	10940.37030456403	10940.383354795533
40	41771568622.98542	41771563221.09963	6364.376133438924	11531.497279297617
50	5974349684141.123	5974281517014.851	2575.1544747930207	17105415.25318944
